song ID	song title	singer	lyricist	Total word count	English exist in whole	Total Eng word count	Eng % in whole	Spoken exist in whole	Total Spoken word count	Spoken % in whole	Putonghua exist in whole	both eng and spoken
Total	/	/	/	38395	25	1157	3.01%	57	1822	4.75%	4	14
S04-1	美中不足	許志安 (Andy Hui)	黃偉文	414	FALSE	0	0%	TRUE	3	0.72%	FALSE	FALSE
S04-2	小城大事	楊千嬅 (Miriam Yeung)	林夕	301	FALSE	0	0%	TRUE	3	1%	FALSE	FALSE
S04-3	空中飛人	李克勤 (Hacken Lee)	李克勤	366	FALSE	0	0%	TRUE	12	3.28%	FALSE	FALSE
S04-4	講妳知	張學友 (Jacky Cheung)	張學友	298	FALSE	0	0%	TRUE	8	2.68%	FALSE	FALSE
S04-5	翡翠劇場	黃耀明 (Anthony Wong)	林夕	271	FALSE	0	0%	FALSE	0	0%	FALSE	FALSE
S05-1	夕陽無限好	陳奕迅 (Eason Chan)	林夕	308	FALSE	0	0%	TRUE	3	0.97%	FALSE	FALSE
S05-2	天才與白痴	古巨基 (Leo Ku)	林夕	495	FALSE	0	0%	TRUE	6	1.21%	FALSE	FALSE
S05-3	男子組	林海峰 (Jan Lamb)	林海峰	660	TRUE	12	1.82%	TRUE	615	93.18%	FALSE	FALSE
S05-4	我得你	劉德華 (Andy Lau)	劉德華	417	FALSE	0	0%	TRUE	7	1.68%	FALSE	FALSE
S05-5	小黑與我	薛凱琪 (Fiona Sit)	林夕	301	FALSE	0	0%	TRUE	11	3.65%	FALSE	FALSE
S06-1	愛得太遲	古巨基 (Leo Ku)	林夕	450	FALSE	0	0%	TRUE	19	4.22%	FALSE	FALSE
S06-2	富士山下	陳奕迅 (Eason Chan)	林夕	416	FALSE	0	0%	FALSE	0	0%	FALSE	FALSE
S06-3	華麗邂逅	容祖兒 (Joey Yung)	黃偉文	475	FALSE	0	0%	FALSE	0	0%	FALSE	FALSE
S06-4	好兄弟	軟硬天師 (Softhard)	黃貫中,林海峰,葛民輝	444	FALSE	0	0%	TRUE	254	57.21%	FALSE	FALSE
S06-5	光明會	何韻詩 (HOCC)	黃偉文	364	FALSE	0	0%	FALSE	0	0%	FALSE	FALSE
S07-1	酷愛	張敬軒 (Hins Cheung)	林夕	660	FALSE	0	0%	TRUE	114	17.27%	FALSE	FALSE
S07-2	Crying In The Party	陳奕迅 (Eason Chan)	黃偉文	248	FALSE	0	0%	FALSE	0	0%	FALSE	FALSE
S07-3	花落誰家	李克勤 (Hacken Lee)	林若寧	355	FALSE	0	0%	FALSE	0	0%	FALSE	FALSE
S07-4	愛回家	古巨基 (Leo Ku)	林夕	329	FALSE	0	0%	FALSE	0	0%	FALSE	FALSE
S07-5	木紋	何韻詩 (HOCC)	黃偉文	422	FALSE	0	0%	FALSE	0	0%	FALSE	FALSE
S08-1	囍帖街	謝安琪 (Kay Tse)	黃偉文	358	FALSE	0	0%	FALSE	0	0%	FALSE	FALSE
S08-2	Love Song	方大同 (Khalil Fong)	方大同	524	TRUE	32	6.11%	FALSE	0	0%	TRUE	TRUE
S08-3	下次再見	古巨基 (Leo Ku)	林夕	361	FALSE	0	0%	FALSE	0	0%	FALSE	FALSE
S08-4	跑步機上	容祖兒 (Joey Yung)	黃偉文	387	FALSE	0	0%	FALSE	0	0%	FALSE	FALSE
S08-5	櫻花樹下	張敬軒 (Hins Cheung)	林若寧	330	FALSE	0	0%	TRUE	5	1.52%	FALSE	FALSE
S09-1	七百年後	陳奕迅 (Eason Chan)	林若寧  	405	FALSE	0	0%	FALSE	0	0%	FALSE	FALSE
S09-2	阿波羅	RubberBand	6號@RubberBand/Tim Lui 	395	TRUE	13	3.29%	FALSE	0	0%	FALSE	FALSE
S09-3	你瞞我瞞	陳柏宇 (Jason Chan)	林夕 	302	FALSE	0	0%	FALSE	6	1.99%	FALSE	FALSE
S09-4	Yes & No	張敬軒 (Hins Cheung)	周耀輝	358	TRUE	182	50.84%	FALSE	0	0%	FALSE	FALSE
S09-5	地球很危險	古巨基 (Leo Ku)	林夕	317	FALSE	0	0%	TRUE	3	0.95%	FALSE	FALSE
S10-1	Simple Love Song	RubberBand	Tim Lui  	306	TRUE	36	11.76%	FALSE	0	0%	FALSE	FALSE
S10-2	黑色狂迷	Mr.	Dash	245	TRUE	3	1.22%	FALSE	0	0%	FALSE	FALSE
S10-3	脆弱	謝安琪 (Kay Tse)	李焯雄  	396	FALSE	0	0%	FALSE	0	0%	TRUE	FALSE
S10-4	桃色冒險	容祖兒 (Joey Yung)	黃偉文	374	FALSE	0	0%	FALSE	0	0%	FALSE	FALSE
S10-5	陀飛輪	陳奕迅 (Eason Chan)	黃偉文	429	FALSE	0	0%	TRUE	5	1.17%	FALSE	FALSE
S11-1	好不容易	方大同 (Khalil Fong)	方大同  	355	FALSE	0	0%	TRUE	2	0.56%	TRUE	FALSE
S11-2	那些年	胡夏	九把刀 	611	FALSE	0	0%	FALSE	0	0%	TRUE	FALSE
